ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3640	8,2,0,0	67,34,41,32	1,0,0,0	51,38,29,28	78	39
3644	212,141,117,105	73,38,50,38	94,161,58,149	30,28,21,48	78	39
3647	75,21,78,41	2,0,0,0	43,42,42,92	0,0,0,0	78	39
3651	99,78,86,38	2,0,0,0	51,48,50,74	0,0,0,0	78	39
3656	22,16,16,12	0,0,0,0	4,20,9,8	0,0,2,0	78	39
3657	30,22,17,17	0,0,0,0	7,21,7,12	0,0,2,0	78	39
3658	9,2,14,0	23,18,58,33	8,4,2,7	37,27,19,23	78	39
3661	53,24,32,30	0,2,0,0	16,50,39,27	0,0,0,0	78	39
3683	39,24,23,7	2,0,0,0	10,5,23,6	0,0,0,0	78	39
3684	0,1,0,0	0,0,2,0	2,0,0,0	0,0,0,0	78	39
3685	0,2,0,0	0,0,2,0	2,0,3,0	0,0,0,0	78	39
3686	7,2,4,0	8,12,2,0	0,0,2,12	4,0,1,2	78	39
3687	29,17,7,3	4,0,0,0	9,4,9,4	0,0,0,0	78	39
3689	730,376,467,320	1,0,0,0	289,448,292,411	0,0,0,0	78	39
3693	6,11,13,0	5,2,18,1	6,6,0,5	7,4,2,3	78	39
3694	13,3,8,5	9,0,0,0	4,20,9,1	0,0,0,0	78	39
3695	24,2,12,6	4,0,0,0	9,10,12,3	0,0,0,0	78	39
3696	4,0,0,0	4,7,5,12	5,0,0,0	3,9,0,1	78	39
3697	5,4,7,2	1,9,0,9	6,1,2,7	1,3,2,1	78	39
3699	5,9,14,22	2,0,0,0	9,2,11,0	3,0,0,0	78	39
3700	7,1,0,8	0,0,0,0	6,2,4,0	0,0,2,0	78	39
3701	56,43,40,37	2,0,0,0	35,57,44,57	0,0,0,0	78	39
3702	108,91,116,88	0,0,0,0	74,79,54,88	0,1,0,0	78	39
3703	124,94,103,51	4,0,0,0	91,112,64,73	0,0,0,0	78	39
3704	103,51,95,40	4,0,0,0	31,39,31,38	5,0,0,3	78	39
3705	34,19,47,9	4,0,0,0	17,19,20,11	5,0,0,3	78	39
3706	99,56,110,62	5,1,5,0	47,51,63,91	8,11,0,0	78	39
3707	32,24,62,31	0,0,0,0	33,31,52,64	0,0,0,6	78	39
3708	117,64,111,39	5,1,5,0	48,40,32,64	8,11,0,0	78	39
3709	50,32,63,8	0,0,0,0	34,20,21,37	0,0,0,6	78	39
3710	49,32,50,10	0,0,1,0	37,26,16,37	0,0,0,0	78	39
3711	116,67,89,38	0,0,1,0	98,54,46,79	0,0,0,0	78	39
3721	0,0,0,3	2,0,0,0	0,0,0,0	4,0,2,0	78	39
3724	9,0,0,6	0,1,0,0	0,4,0,0	0,0,0,0	78	39
3725	87,50,128,73	0,0,0,0	114,106,68,56	0,0,2,0	78	39
3726	155,127,171,178	0,0,0,3	162,164,143,146	0,0,0,0	78	39
3727	280,167,200,182	0,0,0,0	159,159,113,166	0,0,0,3	78	39
3730	302,174,269,133	1,0,0,0	172,185,118,228	0,0,0,0	78	39
3732	1343,1033,1312,807	0,0,0,0	885,1082,806,1040	0,0,1,0	78	39
3734	0,0,0,0	18,13,18,6	3,6,0,0	23,26,15,9	78	39
3735	20,3,18,6	0,0,0,0	3,4,6,6	0,0,0,3	78	39
3738	19,11,18,33	5,1,0,3	10,13,12,17	0,0,1,0	78	39
3739	23,43,77,38	0,0,0,0	36,60,54,63	0,0,1,0	78	39
3740	93,54,42,51	1,0,0,0	54,69,54,55	0,0,3,0	73	39
3741	154,124,199,216	5,1,7,0	205,172,136,177	0,0,0,0	78	39
3742	15,13,13,7	0,0,1,0	4,23,18,10	0,0,0,0	78	39
3743	32,22,36,8	0,0,1,0	10,27,31,15	0,0,0,0	78	39
3744	0,1,0,0	15,5,4,7	0,5,0,0	15,3,12,9	78	39
3745	31,27,39,19	2,0,0,0	27,28,26,25	0,0,0,0	78	39
3746	1,0,6,0	9,3,3,4	0,1,0,0	9,12,11,11	50	39
3747	0,2,0,0	9,3,3,4	0,0,0,0	9,12,11,11	78	39
3749	12,14,16,20	0,0,1,0	12,11,7,18	0,0,1,0	69	39
3752	84,45,92,60	1,0,0,0	40,70,47,50	0,0,0,0	78	39
