ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
483	103,46,90,62	150,124,131,82	81,73,58,54	96,143,87,113	78	78
484	31,20,60,17	150,120,123,82	15,31,28,22	98,138,86,98	78	78
485	4,3,6,5	14,6,10,1	11,8,7,1	10,0,4,8	78	78
486	3,5,6,7	0,1,7,3	1,4,2,10	1,0,10,0	78	78
487	57,9,24,7	12,10,36,14	14,22,7,17	19,8,26,17	78	72
488	0,0,0,0	157,107,247,169	0,0,1,0	180,154,124,171	56	78
489	128,95,158,146	157,107,247,169	169,115,118,143	180,154,124,171	78	78
490	199,94,251,137	117,91,147,118	160,164,146,209	110,137,73,122	78	78
491	7,5,7,10	17,4,8,9	4,9,2,4	0,6,16,10	78	78
492	106,62,76,85	73,63,65,44	88,101,77,78	45,57,34,64	78	78
494	9,11,0,0	5,5,2,0	16,0,2,5	2,0,9,5	78	78
495	5,5,0,0	56,24,63,13	0,19,1,2	77,40,31,55	78	78
496	5,0,8,0	0,1,0,0	1,0,1,0	0,0,0,0	78	78
497	264,193,197,113	179,184,169,107	121,188,117,126	155,144,150,167	78	78
498	252,199,162,170	359,319,280,287	163,209,178,194	303,325,235,247	78	78
499	17,1,6,5	33,38,21,21	0,5,6,2	16,16,15,13	78	78
500	5,4,3,0	1,0,6,0	7,5,4,8	1,1,3,0	78	78
501	133,79,99,66	51,36,35,26	64,70,71,63	24,28,19,17	78	78
503	16,12,15,24	40,15,20,39	11,10,10,4	24,16,17,30	78	78
504	3,0,6,0	1,3,3,0	0,6,2,0	0,6,6,2	78	78
512	9,6,16,20	0,3,6,2	13,0,13,9	8,5,4,0	78	78
514	33,40,30,25	25,28,36,13	23,23,10,23	24,15,9,26	78	72
517	61,39,73,38	101,71,84,72	47,70,69,59	77,78,52,70	78	78
518	77,44,62,25	147,67,103,53	74,80,44,53	93,17,95,75	78	78
520	0,3,6,0	5,2,0,0	3,23,2,4	0,8,0,1	78	78
522	103,64,57,49	64,38,33,18	53,51,52,66	35,25,21,36	78	78
523	8,0,3,2	73,45,100,53	4,0,5,5	59,92,49,57	78	78
524	0,1,0,0	0,0,0,0	2,0,5,4	0,13,0,0	78	78
525	12,0,2,3	32,29,51,21	12,8,9,5	53,31,20,25	78	78
526	16,2,1,3	1,3,0,2	12,13,10,5	0,0,0,0	78	78
527	4,3,3,0	0,0,1,0	1,3,1,1	3,8,0,0	78	78
528	1,0,6,0	2,3,0,5	0,0,0,0	0,2,0,0	78	78
531	1,0,0,0	0,0,0,0	2,0,0,7	2,0,0,0	78	78
532	1,0,0,0	0,0,0,0	2,0,0,7	2,0,0,0	78	78
533	18,16,7,9	4,3,0,0	6,4,12,14	1,1,0,4	78	78
534	0,0,0,0	14,6,17,3	0,0,0,2	2,14,14,0	78	78
536	10,10,14,11	41,38,10,15	1,9,13,8	27,41,11,18	78	78
537	92,88,129,113	0,0,0,0	96,108,90,126	0,4,0,0	78	78
538	172,96,171,131	356,323,451,179	84,80,88,100	329,338,271,351	78	78
